Word, Frequency
orphans, 1
strolled, 1
invested, 1
arduously,, 1
agree.", 1
procured., 1
must, 462
Sonya.), 1
muss, 1
argue?, 1
Tikhon;, 1
it.", 47
subsequently, 8
Sonya.", 2
appointments:, 1
seconds,, 2
seconds., 3
marshal, 19
grippe, 1
Mitenka's, 2
sympathy., 4
mute, 4
cherished, 1
artilleryman,, 2
cough--the, 1
spare, 16
Sovereign,, 6
it.', 2
spark, 3
it.), 3
rumor, 7
Beauharnais', 2
soothe, 4
desirable, 3
argued, 4
unlikely, 1
indistinctly., 1
shabby, 6
elsewhere--in, 1
penitence,, 1
aunt?", 1
Vorontsovo,, 1
same., 20
walking, 39
deviation, 1
lakes, 1
agree,", 2
surgeon,, 1
same,, 22
same?, 1
Natasha--are, 1
build,, 1
uneasily, 16
incomprehensible),, 1
energetically,, 1
vast, 15
accidental, 1
"Impudent, 1
same:, 2
same;, 1
unfriendly, 2
perspired,", 1
No,", 1
Tikhon,, 17
advantages, 14
learned,, 2
Tikhon., 6
sympathy,, 5
learned., 1
clouds., 2
Social,", 1
helped, 25
accompaniment, 2
torrent, 1
anything!..., 1
consultation'?", 1
"ulyulyu!", 1
Julie.", 1
learned;, 1
prohibited, 1
clouds,, 9
learned:, 1
undergrowth, 1
so-and-so,, 1
Sonya's, 30
vodka?, 1
operate., 1
blinds, 1
devoirs,", 1
vodka), 1
vodka,, 6
remember....", 1
woolwork, 1
vodka., 2
fervent, 1
asleep., 14
stationary,, 1
vodka!, 1
operate:, 1
mankind., 4
tufts., 2
yourself, 58
asleep,, 18
self-interest--house, 1
Stael,, 6
secretly., 2
battlefield.", 1
childishness!", 1
whiffs, 1
asleep?, 1
asleep;, 3
matters, 42
Grand..., 1
Armenian, 6
extracted,, 1
unspent,, 1
d'honneur!", 1
shaped., 1
Hills;, 1
lovers!", 1
shaped,, 1
befits, 4
showered, 2
Excuse, 3
corporal's, 4
storerooms., 1
dance, 15
blind?, 1
culture, 12
vision., 2
dogs.", 1
Hills., 10
Semenova, 2
Hills,, 15
backward, 6
complexity, 1
cause--was, 1
bladder., 1
Kuragin,", 1
Ilagins, 1
symmetrical, 1
Sonya,", 1
question?", 1
revolutions,, 3
respite., 1
indicated,", 1
"Humbug!, 1
respite,, 1
same--only, 1
order,", 2
matter?, 5
mirth,, 1
matter;, 1
foundations--has, 1
cropped;, 1
dandy, 2
zest, 2
verbal, 4
possessed., 2
matter., 20
fixing, 6
matter,, 20
"Your..., 1
vitality--the, 1
deacon, 6
brother, 69
matter!, 1
Mucius, 1
scudding, 1
flames,", 2
End, 1
possesses, 6
chandelier, 1
succeeding, 1
obdurate, 1
lunched, 1
chickens,, 1
him--for, 2
Remember, 5
scab-covered, 1
bump,, 1
AGREEMENT, 1
ladies--frightening, 1
contrast, 14
possessed, 19
emancipation., 1
FOR, 3
Aliment, 1
philosopher,, 1
so--though, 1
order.", 1
swore,, 1
chickens., 1
unexpended, 1
inapt, 1
sure, 60
elsewhere--at, 1
philosopher;, 1
man..., 1
unavoidable, 4
sword., 3
longed., 1
heedless, 3
wants, 27
loads., 1
pressing,, 1
camp--the, 2
hearing, 64
Kuragin's, 7
owner,, 2
unabashed, 1
Germany...., 1
sword,, 7
symmetry, 2
weight., 3
Ilagin,, 4
golden, 10
weight,, 4
welfare., 2
confession;, 1
collapsing, 2
welfare,, 2
blind., 1
Apraksina., 1
broadsheet.", 1
promptings, 1
marauder, 2
solfeggio., 1
hastily., 4
cruel.", 1
curtsied., 1
Apraksina,, 1
hastily,, 4
curtsied,, 1
mistaken..., 1
blind,, 2
bragging, 1
interfere, 6
welfare?, 1
confession,, 1
confession., 2
saying?", 7
want., 2
want,, 8
glass, 44
want!, 1
resumed, 12
choirs,, 1
"Why,", 1
command...", 1
don't!, 3
What?..., 1
want?, 7
don't,, 4
"Gott,, 1
don't., 2
comptez, 1
clothing--of, 1
affectation, 8
complexion, 1
"Reinforcements?", 1
(does, 1
welfare!, 1
dogs,", 2
Ramballe., 2
deprive, 11
Ramballe,, 6
target, 1
pillar, 1
re-entering, 2
reconstruction, 1
disgraced,", 1
quizzical,, 1
est..., 1
may--, 1
laugh.", 1
blessed, 5
Apparently, 1
Kepler, 1
"just, 3
fancy...", 1
effects--the, 1
Gorki, 2
Cross, 9
demonstrate,, 1
"A, 73
salon, 2
trouvez, 1
Terenty, 3
coronet), 1
commune?", 1
throng., 2
stuff!", 1
deceive,, 2
last?", 1
dispersing., 1
marauders, 2
collision, 6
seizing, 26
throng,, 1
Caulaincourt,, 1
clear...., 1
spiking, 1
"power", 2
beg--I'll, 1
"O, 18
awoke, 12
Caulaincourt., 2
demonstrated, 1
"I, 755
Matins., 1
crybaby, 1
tiled, 1
"a, 8
tortoise, 4
mildness...., 1
sighing., 1
I,", 4
sighing,, 2
impress, 8
99712.,, 1
disorderly, 7
sinful, 3
owners, 7
discovery, 9
deserve, 4
pillow, 8
provender, 1
TEN:, 2
stuff., 1
flashed, 13
time--that, 1
affinity., 1
intervals--trata..., 1
d'honneur),, 1
affinity,, 1
thumb,, 2
midday, 9
supercilious, 1
Matins,, 1
moodily, 1
flashes, 1
may,", 3
throne,, 2
nicely., 1
throne., 1
stuff!, 1
comrades.), 1
"Why's, 1
it!", 51
sunk, 11
I'm, 86
weighed, 7
played., 2
sung, 4
played,, 1
Staff,, 1
I'd, 19
word...", 1
hottest, 1
you!...", 6
united,, 2
merrymaking, 1
cookshops., 1
dissatisfaction, 14
more!...", 1
sums, 5
Krasnoe, 18
seminarists,, 1
Rhine, 3
appropriately,, 1
occurred,", 1
mount., 3
"Wetched, 1
nothing, 318
nevertheless., 1
courtierlike, 2
Get, 10
it!', 1
Ferapontov, 6
sun?, 1
haggard, 1
(Pierre's, 1
communicating, 1
fictitious., 1
straightened, 6
Kuragina,, 1
England,, 4
is?", 2
England., 2
violently, 5
sun., 7
bitch!", 1
sun,, 12
"ten, 1
beings,, 1
Empereur., 1
'Whosoever, 1
sallow-faced,, 2
robbing, 3
listener,, 1
England?, 1
beast., 1
coup, 1
sun!, 1
beings:, 1
beast,, 4
possessor, 5
beast!, 1
liar!", 1
habits:, 1
eager, 26
plowmen.", 1
artisans,, 3
Oldenburg"--and, 1
beast:, 1
sum,, 1
salt,, 1
sum., 1
Englishman's, 1
Honor, 5
imitation, 2
Kuragina., 1
afwaid, 1
containing, 14
'A, 2
salt., 3
habits,, 3
nature--which, 1
Lorrain,, 2
habits., 1
Lorrain., 2
dale., 1
"Louisa, 1
reread, 4
I,', 1
hitting,, 1
sunken, 5
step!, 1
err,, 1
crucified, 1
unexpected,, 3
congratulations, 4
follows,, 1
dale,, 1
deceived, 9
splendidly..., 1
bad..., 1
backwash, 2
organization, 1
involuntarily, 62
Nobility,", 1
black., 2
gratuity, 1
black-, 1
black,, 6
touched, 52
well-garnished, 1
stems, 1
deceiver, 1
follows:, 8
salut, 1
communication, 9
flattery,, 1
marauder?, 1
touches, 1
swarthy,, 1
she'll, 5
irreparable., 1
smile,", 1
examinations?", 1
brotherhood,, 2
ourselves--and, 1
thatched, 2
step., 11
step,, 16
valves, 2
wedding, 9
suit, 6
I.", 1
suis, 4
No?", 1
beasts, 1
step;, 2
deathlike, 2
outbuildings,, 1
gleefully,, 1
snatches, 3
pertinaciously, 1
halted, 14
began--at, 1
Wischau,, 3
visiting,, 1
Donning, 1
resumed,, 2
Sonya--were, 1
combine, 6
rented, 1
it,", 60
Tuesdays, 1
shades, 3
Himself, 1
fired!", 1
rentes, 1
punt,", 1
listened:, 1
listened;, 1
steps, 97
stripes, 1
surmise., 1
Tsarevo-Zaymishche,, 1
exceeded, 3
war.", 1
one-horse, 1
snatched, 10
supper!, 1
"the, 50
officer--in, 1
gloomier., 2
listened., 7
Seslavin, 1
disordered, 6
loose., 1
listened,, 8
supper,, 10
cardplayer,, 1
supper., 11
potato., 1
'a, 3
potato,, 1
knotted, 1
mantle, 3
Instantly, 2
conduced, 2
Adorable!, 1
followed, 120
scrupulously, 1
prince--and, 1
imitating, 4
personage),, 1
good-natured, 19
emanating, 2
'I, 15
compelled, 8
striped, 1
shade,, 3
(a, 10
repaired., 1
diable!, 1
30,000, 1
fires,, 2
Tuesday., 2
bluish, 4
"'Dio, 1
larger, 16
stern, 44
guessing, 9
it's, 176
snapping, 2
ulyulyuing, 1
surmises, 4
it)., 1
prisoners--was, 1
falsified, 1
fires;, 1
it),, 4
noses,", 2
I!", 2
personages),, 1
(I, 3
fires., 1
jabber, 1
-a, 1
send,, 1
profoundly., 1
luxuriously, 1
middle, 73
lenient, 1
Spasski, 1
results, 20
stillness., 1
gather, 6
stillness,, 1
may!", 1
"Singers, 1
Kuzminichna,, 5
neutrality, 2
clearly--clearer, 1
Kuzminichna., 3
Highness--for, 1
heartless,, 1
heartless., 1
result?, 1
such, 566
controlled, 5
doubt, 45
rearrangement, 1
suck, 2
openings, 2
new,", 1
large,, 18
relative, 7
sensibility,, 3
putrefaction, 1
object...", 1
angry?", 1
crossbeam,, 1
Burning, 1
quicker--and, 1
accommodated,, 1
re-formed,, 2
"too, 1
result,, 2
conjunction, 4
word.", 1
strictness, 2
induces, 1
sends, 5
Iogel, 7
annihilated, 1
strongest,, 1
result., 6
addicted),, 1
result;, 1
induced, 5
indifferent, 17
treated, 24
morsels., 1
candles?..., 1
threatened,, 1
Majesties,, 1
loosed, 2
"Terrible, 1
stuffy, 2
unoccupied, 4
Department!, 1
--, 1
6--St., 1
coming..., 2
Provincial, 2
word,", 2
imagining, 14
Peterkin--and, 1
new--, 1
repeated,, 21
Department,, 1
pretty!", 2
dressed.", 1
war,", 9
repeated., 20
reality), 1
breeches, 11
reality., 2
listening., 3
her--filled, 1
listening,, 4
man--a, 4
reality,, 5
may?", 1
weceives, 1
laborer., 1
bustle, 7
absent-mindedness, 5
danced, 21
4., 3
4,, 1
staring, 11
40, 1
tormenting, 11
civilization?, 1
magnate, 4
strength--her, 1
wattle, 14
opportunities, 4
ugly,", 1
knows--and, 1
dancer, 3
usually,, 1
dances, 2
questioned, 17
prisons,, 1
organizer, 1
22, 1
tiresomely, 1
organized, 4
23, 1
caleches,, 1
24, 2
demonstrated,, 1
spent,, 1
relive, 1
upheld, 2
3., 2
30, 3
(places, 1
crime, 8
baseness,, 2
night!", 1
palaces, 1
twelve, 8
lamps,, 2
packet?", 1
dozed,, 1
torturing, 3
run,', 1
17, 1
occuring, 1
13, 2
11, 3
daughters,", 1
12, 2
nehmen.", 1
20, 3
too..., 3
figure, 54
2., 2
saying,", 3
pinned, 1
fulfill,, 2
proceeded, 5
opening,, 1
scarlet-liveried, 1
frightened.", 1
inquiringly, 28
d'Alexandre,, 1
erect, 6
civilization,, 5
07, 2
Schlosser,, 1
seller, 2
one-sidedly, 1
Schneider, 1
flank--had, 1
1., 2
Ferapontov., 3
Ryazan, 18
palace., 3
imaginings, 1
10, 4
intensity,, 2
plots, 1
palace,, 4
whizz, 1
1,, 1
Ferapontov,, 3
Queen,, 2
half-hour, 2
saying,:, 1
postilion, 3
Assumption, 1
tradesman's, 3
relating, 14
dignitaries, 1
Ilynich, 1
harvesting., 1
est-ce, 1
Liebchen, 1
unreal, 1
Hurrah!", 4
frightened,", 1
fired., 2
war!", 1
is.", 7
80, 1
whist, 1
"Every, 2
'shelter'?", 1
expedition, 6
occurred,, 3
Brook,", 1
clavichord, 11
4x, 1
sportsman's, 1
deliberation,, 2
relation, 45
white, 176
century-old, 2
Makarin,, 2
Makarin), 1
occurred., 5
properly, 5
occurred;, 1
dilly-dallying, 1
7., 1
suppers, 1
70, 1
flattered, 13
'minister', 1
princes, 3
Theology, 1
cries, 14
baseness!, 1
singer, 2
Ney--a, 1
6,, 1
vanished, 11
war";, 1
sailed, 1
long...", 1
goddaughter, 1
reverence, 1
singed, 1
62, 1
60, 2
spent., 1
liberalism,, 1
6., 1
Minister, 25
airs,", 1
prince:, 1
is,", 18
prince;, 2
vanishes, 2
deliberations, 2
beloved,, 3
prince?, 2
outhouses,, 1
beloved., 1
(battles,, 1
"two, 3
supper?, 1
descent, 7
Translators:, 1
prince,, 54
supper:, 1
prince., 33
supper;, 1
beaten, 21
relish, 1
descend, 5
eyebrows, 22
5., 2
50, 2
dispositions,, 5
subject--the, 1
"Buonaparte, 2
malice, 1
unexpected;, 1
Assumption., 1
dispositions., 3
conducts, 1
Thanks,, 1
refused,", 1
transactions,, 1
sailor, 3
dispositions;, 1
Lelya's, 1
enlightenment, 3
sales, 1
Durrenstein, 1
prizes, 1
along.", 1
aunt,", 1
wishes, 24
Tuchkov, 2
decided?, 3
prized, 4
army--moved, 1
Fly, 1
Vilna, 17
Isn't, 12
assiduous, 2
dame,, 2
anything?", 4
wished, 185
then?...", 1
Bitski, 1
convoys, 1
university,, 1
buttermilk, 1
assented, 9
relatives--Countess, 1
night's, 5
'Princess, 1
decided;, 1
thought..., 1
ugly!", 1
9:, 1
decided,, 4
decided., 3
steal, 2
listeners, 3
entertained, 5
broad,, 9
broad-, 3
Ivanovna, 11
advancing.", 1
crisp, 1
extended,", 1
day--everybody, 1
squares,, 1
Physically, 1
90, 3
drops....", 1
fired,, 3
ensign, 2
aunt's, 2
stud, 2
constrained,, 1
Englishman, 11
Hoch, 1
fired", 1
Redoubt.), 1
steam, 4
quatre...", 1
malign, 1
vestment,, 1
wars,", 1
"Still,, 4
nationality,, 1
shocked, 4
matted, 2
sent., 1
incidents, 3
witnesses, 3
sent,, 3
night,", 5
sentiment.", 2
linked, 5
greatcoats, 4
eagle, 3
sent;, 1
sent:, 1
frosty., 2
property, 22
sense, 66
Tarutino;, 2
conceal,, 1
staying, 27
rule,, 3
witnessed, 12
"Halt!, 1
conceal., 1
angrier., 1
rule., 3
angrier,, 1
Tarutino., 3
blades, 1
harming, 2
attractive., 6
nursery.", 1
wars.", 1
attractive,, 1
responsibilities, 2
revolving, 1
gentry., 1
Tarutino), 2
gentry,, 3
ermine, 1
pointedly,, 1
Tarutino,, 7
feelings, 36
wrote),, 1
conduct., 1
stop, 40
"still, 2
large,", 1
dance., 11
dance,, 7
dance), 1
mortification, 1
precise,, 3
pretty, 44
reared, 5
captured.", 1
night.", 2
cunning, 14
bulky, 1
For, 117
incident:, 1
greatcoat,, 3
greatcoat., 2
But,, 14
feeling), 1
officials--the, 1
matter, 104
befalls, 1
Fairbanks,, 1
thumping, 3
steep, 9
fr..., 1
Voltaire., 1
incident., 1
trivial., 1
frightened!", 2
steel, 2
instances., 1
incident,, 1
trivial,, 1
rules, 24
ruler, 9
ruled, 6
dance?, 1
feeling;, 1
birth--my, 1
steer, 1
Crosart,, 1
(Moscou,, 1
feeling,, 15
saying!", 2
feeling., 13
forgave, 1
permeated, 1
madly., 1
outing., 1
Moscou., 1
life,", 5
Moscou,, 1
shady,, 1
awareness, 1
still?..., 1
bandolier,, 1
audibly., 1
wrongly, 2
mallet, 1
early?", 1
XXXVIII, 2
bastards!", 1
Barclay, 34
(whoever, 1
bears,, 2
madly,, 4
"only, 5
"-so, 1
these, 526
slave,, 1
dear..., 3
calming, 2
slave., 1
ever,", 2
eyebrows,, 4
goods.", 1
Du, 1
painfully;, 1
there?..., 1
astonished, 15
eyebrows., 5
Do, 56
talking., 9
brothers-in-law., 1
jarring, 1
abundantly, 1
De, 5
her...., 1
slave!, 2
nonreceipt, 1
talking,, 14
Vitebsk, 3
Moscow., 98
candlelight, 1
Moscow,, 142
scandal, 2
protruding, 1
talking?, 1
rival, 3
rhythmically., 2
Moscow!, 4
vulgar., 1
Et, 2
Platon,, 4
Moscow), 2
heiress, 7
life's, 6
trowel,", 1
G., 1
dating, 1
tending., 1
toujours, 1
Moscow", 1
well-bred, 3
ceremoniously., 1
Place, 2
Korchevo, 2
army--which, 3
stir, 15
anxiety., 4
ever.", 1
I!, 2
anxiety,, 3
I", 2
forgiveness,, 3
all..., 3
enfeebled, 3
digging, 1
life),, 1
forgiveness., 4
uncomplaining, 1
bludgeon., 1
senior?", 1
twenty-five., 1
fortuitously., 1
Ho,, 1
outvying, 1
snout..., 1
Apraksin,, 1
scoundrel!", 1
Schmidt!", 1
decorations,, 4
decorations., 1
cunning,, 4
this--we, 1
mystery...., 1
fiancee, 1
Certainly, 1
humbug!", 2
maxim, 1
resembling, 12
fateful, 1
pretty?", 2
Vrazhek., 1
foliage, 1
decorations:, 1
adjoining, 11
A., 3
stampede, 2
vessel--acted, 1
hesitating., 1
Holy, 16
Platon., 1
Hendrikhovna, 8
bluff?, 1
bridge.", 1
horseback, 5
Pernetti, 1
grace!", 1
B,, 1
Moscow;, 6
Moscow:, 3
leather-covered, 1
Moscow?, 10
III, 36
execrable,, 1
B., 2
Sweden, 1
bluff,, 2
greatcoat), 1
Au, 7
notes., 2
notes,, 2
At, 291
tidiness, 1
As, 214
life.", 4
tested, 2
nights,, 3
magnates, 2
disinterestedly,, 1
Ah, 3
BE, 1
Am, 9
An, 55
goods--, 1
tonight, 5
hesitating,, 1
C,, 1
doctor,, 24
Bogdanovich., 1
doctor., 13
By, 44
"Sometimes, 1
His, 300
others--are, 1
bridge,", 1
lisping,, 1
wronged, 2
reappearance, 2
lisping., 1
thoughtfulness,, 1
scut,, 1
eastward, 4
critical,, 1
never, 383
drunkard's, 1
Be, 14
there, 897
approaching, 52
fluttering,, 1
pronounced,, 1
they?", 2
Him, 11
lisping:, 1
motionless, 22
Women?", 1
govern, 3
manure, 2
dressmaker, 1
Ivanych, 2
M., 13
"eyes, 1
sovereigns?, 1
land,, 6
sovereigns;, 1
land., 5
fortification., 2
gatherings, 2
sovereigns', 1
hut--and, 1
Le, 5
sovereigns!, 1
lance, 1
engaged....", 1
"Altogether, 1
sovereigns., 1
Lobnoe, 3
Hope, 1
doctors, 25
supplemented, 1
La, 3
sovereigns,, 2
He,, 4
expedite, 1
transfer, 7
absolute,, 2
cases,", 2
was.", 1
commune,", 2
batteries, 13
N., 5
bugler, 2
Synod--a, 1
Boris'--ran, 1
Me, 1
insight,, 1
Wisdom,, 1
O,, 3
http://www.gutenberg.org/2/6/0/2600/, 1
haunches, 1
O., 2
Plain, 1
Church, 4
questions., 10
personification, 3
Platov,, 1
richest., 1
porches., 1
My, 54
captured!", 1
ugly,, 1
ugly., 1
questions:, 1
Shouldn't, 1
solitude--she, 1
NO, 2
gathering;, 1
unless, 14
gathering), 1
furiously., 1
Ne, 1
OF, 11
feminine, 13
hierarchy, 2
"Countess,, 2
gathering., 1
gathering,, 1
was,", 2
rearguard,, 2
stay, 51
rising., 4
star, 7
touchpans, 1
decorated,, 1
No, 55
rising,, 3
OR, 6
fortifications, 4
dreaded, 7
Katie,", 1
On, 298
reported,, 2
Oh, 9
reported., 2
bit!..., 1
capital--that, 1
exposed--, 1
stab, 4
PG, 1
Of, 38
life!", 2
red-liveried, 1
Her, 80
I,, 25
they., 3
ha!..., 2
Prater, 1
they,, 8
-who, 2
I., 2
wisdom, 9
Go, 38
conceived, 1
helmet, 1
Mashka, 1
added--allusions, 1
Schmidt's, 1
disintegration., 1
I;, 1
they?, 3
cocks,, 1
I?, 10
cocks', 1
singlehanded., 1
notice..., 1
IF, 1
He, 1667
II, 34
onto, 61
bunting, 1
approve, 9
appearance., 3
IN, 1
locking, 1
busy,", 1
printing, 1
reddish-brown, 1
fitful, 1
cheerfully, 8
IV, 34
Ha!, 1
IX, 34
owned, 2
questions,, 10
profligate, 3
How,, 1
fanning, 2
Ha,, 7
toilet,, 2
Siberia--and, 1
owner, 8
"please, 1
peculiar,, 2
it--which, 1
If, 183
Rustan., 1
countermarches,, 1
In, 504
dark..., 1
Il, 2
comrades', 3
comrades,, 11
command.', 1
him--his, 2
toilet., 1
Is, 48
It, 575
comrades., 5
sacrificing, 6
untruth, 1
Minnesingers,, 1
Je, 5
uhlans, 21
stew, 1
busy.", 1
important., 6
Hors, 1
important,, 10
agreement, 15
prince!, 1
Had, 29
face--fair, 1
looted, 4
piebald, 1
treachery, 5
vacant,, 1
stories,", 1
Has, 6
stem, 2
LE, 1
vacillating,, 2
step, 49
agreeable,, 4
temples, 9
message,, 1
sixteen,", 2
Sighs, 2
chemist's, 1
pretexts., 1
suitors., 1
suitors,, 1
countries, 1
capitals,, 1
VI, 34
coiffure, 3
Metropolitan, 1
nationalism,, 1
rumbled, 1
frost!", 1
sparrows, 1
command),, 1
awfully, 3
Tu, 1
edition., 1
thee,, 3
pale!", 1
Englishman,, 1
UT, 1
blameless, 1
thee., 1
spring,, 4
Englishman., 2
V., 2
victimized, 1
Berlin, 3
sake!, 7
To, 178
Kuragins', 1
objects,, 1
groaning, 4
objects., 1
godfather, 1
Sventsyani, 4
cocked, 4
thee!, 2
something?, 1
courteous, 4
something:, 1
lessened, 1
XV, 31
hollow-cheeked, 1
never", 2
XI, 35
We, 126
eyelids., 1
madmen, 1
dresser, 3
"Daniel,, 1
dresses, 14
Bucharest--, 1
depending, 1
spring., 6
rumble., 1
delight.), 1
rumble,, 1
editions, 3
birthday,, 2
modification,, 1
Anton., 1
dressed, 56
pretty,", 2
conscious--as, 1
Anton,, 1
X,, 1
alarmed,", 1
lorgnette, 2
repeated, 101
walls,, 5
I?", 7
privations., 2
they),, 1
reckless, 4
until,, 2
walls., 2
decision,", 1
they'd, 1
Trap-ta-ta-tap!, 1
forty-five, 1
heels;, 1
never., 2
slackened, 1
Ochakov., 1
never,, 5
estates--and, 1
never-, 1
proportion, 10
heels,, 7
nothing?", 2
Bergs--have, 1
goal--, 1
abodes!, 1
was),, 1
deeds,, 1
deeds., 1
S., 4
tiny,, 1
audible,, 3
sound:, 1
audible., 8
sight-seers, 2
sire...", 1
ever!", 1
